domain,country,as_of,field,row_index,value
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,0,"Adobe Public"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,0,"$75 – $15,000"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,0,"Bug bounty program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,1,"Dutch Lottery VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,1,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,2,"Ivo: AI VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,2,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,3,"Dashlane Vulnerability Disclosure Program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,3,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,4,"Spacelift VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,4,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,5,"TrueLayer VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,5,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,6,"Salto Vulnerability Disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,6,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,7,"NVIDIA Public Bug Bounty"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,7,"$150 – $15,000"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,7,"Bug bounty program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,8,"Grafana Labs - Vulnerability Disclosure Program (VDP)"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,8,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,9,"European Space Agency (ESA) VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,9,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,10,"OURA Vulnerability Disclosure Program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,10,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,11,"Daytona Bug Bounty"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,11,"€200 – €3,500"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,11,"Bug bounty program 2FA Required Application Required"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,12,"SolarWinds VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,12,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,13,"Wärtsilä Vulnerability Disclosure Program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,13,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,14,"University of Basel VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,14,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,15,"Tekion VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,15,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,16,"Attentia VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,16,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,17,"Atolls Vulnerability Disclosure Program (VDP)"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,17,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,18,"CARIAD VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,18,"Responsible disclosure T&C Required"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,19,"Coveo Public Bug Bounty"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,19,"$100 – $5,500"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,19,"Bug bounty program 2FA Required"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,20,"ICI PARIS XL"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,20,"$10 – $8,500"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,20,"Bug bounty program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,21,"The Perfume Shop"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,21,"$10 – $8,500"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,21,"Bug bounty program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,22,"Marionnaud"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,22,"$10 – $8,500"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,22,"Bug bounty program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,23,"Superdrug"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,23,"$10 – $8,500"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,23,"Bug bounty program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,24,"Adobe Public"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,24,"$75 – $15,000"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,24,"Bug bounty program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,25,"Dutch Lottery VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,25,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,26,"Ivo: AI VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,26,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,27,"Dashlane Vulnerability Disclosure Program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,27,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,28,"Spacelift VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,28,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,29,"TrueLayer VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,29,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,30,"Salto Vulnerability Disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,30,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,31,"NVIDIA Public Bug Bounty"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,31,"$150 – $15,000"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,31,"Bug bounty program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,32,"Grafana Labs - Vulnerability Disclosure Program (VDP)"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,32,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,33,"European Space Agency (ESA) VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,33,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,34,"OURA Vulnerability Disclosure Program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,34,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,35,"Daytona Bug Bounty"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,35,"€200 – €3,500"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,35,"Bug bounty program 2FA Required Application Required"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,36,"SolarWinds VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,36,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,37,"Wärtsilä Vulnerability Disclosure Program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,37,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,38,"University of Basel VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,38,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,39,"Tekion VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,39,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,40,"Attentia VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,40,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,41,"Atolls Vulnerability Disclosure Program (VDP)"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,41,"Responsible disclosure"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,42,"CARIAD VDP"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,42,"Responsible disclosure T&C Required"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,43,"Coveo Public Bug Bounty"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,43,"$100 – $5,500"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,43,"Bug bounty program 2FA Required"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,44,"ICI PARIS XL"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,44,"$10 – $8,500"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,44,"Bug bounty program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,45,"The Perfume Shop"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,45,"$10 – $8,500"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,45,"Bug bounty program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,46,"Marionnaud"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,46,"$10 – $8,500"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,46,"Bug bounty program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,47,"Superdrug"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,bounty_range,47,"$10 – $8,500"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_type,47,"Bug bounty program"
www.intigriti.com,us,2026-08-22T19:17:39.148Z,program_name,48,"Adobe Public"
